0	Square in back of House 117	NH	a
1	In front of 203's store	OT	a
2	Country in front of house 102	NH	a
3	On path from House 102 to village	NH	a
4	Area in front of House 16 	NH	a
5	Irrigation ditch where it crosses main road to village	NH	a
6	Near bamboo grove in big square on two logs.	OT	a
7	Square in front of House 5	NH	a
8	on the river bank in back of House 102	NH	a
9	Courtyard of House 9	NH	a
10	On the river in back of House 102	NH	a
11	T'u Ti Kung temple	OV	a
12	Courtyard in front of House 19b	NH	a
13	In front of Li Jang's Store	OT	a
14	In front of House 15	NH	a
15	Under the Big Tree	NH	a
16	House 18	NH	a
17	In front of House 15	NH	a
18	Back of House 18	NH	a
19	In front of House 18	NH	a
20	Center around big tree	NH	a
21	Center around big tree	NH	a
22	Back of House 9	NH	a
23	House 4	NH	a
24	In front of 109	NH	a
25	Yard of House 117	NH	a
26	Back of House 101 in garbage dump	NH	a
27	Yard in front of House 102	NH	a
28	Two logs near the big tree	NH	a
29	Yard in front of House 102	NH	a
30	In front of Li Jang's Store	OT	a
31	In front of house 115	NH	a
32	Bamboo tree in the Center	OT	a
33	Main square	OT	a
34	Creek in back of House 104	NH	a
35	Bamboo tree by House 17	NH	a
36	In front of House6	NH	a
37	Side of House 17	NH	a
38	Road in front of 3rd store on way to Western Village	OT	a
39	Bamboo tree by House 17	NH	a
40	Under bamboo tree in Center	OT	a
41	Corner of House 10	NH	a
42	Corner of House 8	NH	a
43	In front of House 10	NH	a
44	House 19 by the river	NH	a
45	Center	OT	a
46	Fifteen pump room of House 117	NH	a
47	In front of House 115	NH	a
48	Garden near House 17	NH	a
49	In front of House116	NH	a
50	In front of House 18	NH	a
51	In front of House 1a	NH	a
52	In front of House 8	NH	a
53	In front of Li Jang's store	OT	a
54	Inside House 117	NH	a
55	Well in front of House 4	NH	a
56	Guava tree by House 14	NH	a
57	Ditch near House 106	NH	a
58	In front of House 104	NH	a
59	Front of House 4	NH	a
60	Corner of House 116	NH	a
61	In front of House 110	NH	a
62	House 22	NH	a
63	Inside House 107	NH	a
64	House 18&19	NH	a
65	garbage dump in back of House 117	NH	a
66	Li Jang's store	OT	a
67	In front of House 104	NH	a
68	Down at the river	OT	a
69	By the third store	NH	a
70	Under the bamboo tree behind House 15	NH	a